E;L;0;00;000;0000;Land Thüringen;3024;3024;1834259;1251403;68,2;22019;1229384;19710;1231693;508083;41,3;477283;38,8;298821;24,3;288615;23,4;236502;19,2;198714;16,1;19282;1,6;32101;2,6;45926;3,7;60511;4,9;46036;3,7;39107;3,2;30780;2,5;29499;2,4;3860;0,3;7900;0,6;0;0;2593;0,2;835;0,1;1744;0,1;23981;2,0;76013;6,2;13874;1,1;17613;1,4;1404;0,1
E;K;189;00;000;0000;Eichsfeld - Nordhausen - Unstrut-Hainich-Kreis I;317;317;196621;134013;68,2;2008;132005;1858;132155;65784;49,8;59234;44,8;26091;19,8;26322;19,9;21826;16,5;20182;15,3;1825;1,4;3661;2,8;4129;3,1;5293;4,0;4371;3,3;3767;2,9;2702;2,0;2366;1,8;2671;2,0;1646;1,2;0;0;199;0,2;0;0;103;0,1;0;0;6995;5,3;2606;2,0;2387;1,8;;
E;;189;61;000;9001;VG Ershausen/Geismar;1;1;0;373;0;5;368;6;367;237;64,4;218;59,4;29;7,9;30;8,2;33;9,0;35;9,5;6;1,6;8;2,2;17;4,6;21;5,7;3;0,8;3;0,8;6;1,6;6;1,6;25;6,8;14;3,8;0;0;0;0;0;0;1;0,3;0;0;22;6,0;12;3,3;9;2,5;;
E;;189;61;000;9002;VG Uder;1;1;0;384;0;4;380;5;379;245;64,5;227;59,9;47;12,4;51;13,5;41;10,8;40;10,6;2;0,5;6;1,6;16;4,2;19;5,0;6;1,6;3;0,8;5;1,3;4;1,1;4;1,1;5;1,3;0;0;0;0;0;0;0;0;0;0;13;3,4;14;3,7;11;2,9;;
E;;189;61;000;9003;VG Hanstein-Rusteberg;1;1;0;358;0;2;356;4;354;219;61,5;184;52,0;40;11,2;41;11,6;53;14,9;52;14,7;7;2,0;15;4,2;15;4,2;21;5,9;8;2,2;9;2,5;4;1,1;8;2,3;2;0,6;3;0,8;0;0;0;0;0;0;1;0,3;0;0;15;4,2;8;2,2;5;1,4;;
E;;189;61;000;9004;VG Leinetal;1;1;0;461;0;1;460;0;461;309;67,2;290;62,9;44;9,6;45;9,8;37;8,0;45;9,8;3;0,7;7;1,5;15;3,3;19;4,1;13;2,8;12;2,6;6;1,3;4;0,9;12;2,6;4;0,9;0;0;0;0;0;0;0;0;0;0;18;3,9;21;4,6;17;3,7;;
E;;189;61;000;9005;VG Lindenberg/Eichsfeld;1;1;0;462;0;3;459;2;460;242;52,7;229;49,8;53;11,5;51;11,1;54;11,8;54;11,7;8;1,7;14;3,0;12;2,6;14;3,0;11;2,4;15;3,3;5;1,1;6;1,3;11;2,4;15;3,3;0;0;1;0,2;0;0;0;0;0;0;25;5,4;63;13,7;36;7,8;;
E;;189;61;000;9006;Verwaltungsgemeinschaft Dingelstädt;1;1;0;719;0;12;707;9;710;407;57,6;386;54,4;105;14,9;102;14,4;76;10,7;77;10,8;13;1,8;29;4,1;22;3,1;35;4,9;16;2,3;13;1,8;9;1,3;9;1,3;32;4,5;16;2,3;0;0;2;0,3;0;0;1;0,1;0;0;22;3,1;27;3,8;18;2,5;;
E;;189;61;000;9007;VG Westerwald - Obereichsfeld;1;1;0;471;0;4;467;2;469;334;71,5;323;68,9;31;6,6;35;7,5;37;7,9;33;7,0;4;0,9;5;1,1;18;3,9;25;5,3;6;1,3;6;1,3;6;1,3;7;1,5;18;3,9;9;1,9;0;0;0;0;0;0;0;0;0;0;16;3,4;13;2,8;10;2,1;;
E;;189;61;000;9008;Verwaltungsgemeinschaft `Eichsfelder Kessel`;1;1;0;378;0;0;378;0;378;251;66,4;238;63,0;40;10,6;39;10,3;32;8,5;36;9,5;6;1,6;9;2,4;15;4,0;16;4,2;10;2,6;9;2,4;2;0,5;3;0,8;15;4,0;11;2,9;0;0;0;0;0;0;1;0,3;0;0;10;2,6;7;1,9;6;1,6;;
E;;189;61;000;9009;Breitenworbis - VG;1;1;0;579;0;0;579;0;579;376;64,9;321;55,4;59;10,2;66;11,4;75;13,0;73;12,6;8;1,4;23;4,0;12;2,1;22;3,8;9;1,6;9;1,6;2;0,3;3;0,5;25;4,3;22;3,8;0;0;2;0,3;0;0;1;0,2;0;0;28;4,8;13;2,2;9;1,6;;
